Марка одежды:                 Страна:

Stone Island                        Италия
CP Company                      Италия
Adidas                                Германия
Nike                                   Америка
Puma                                  Германия
H&M                                 Швеция
Zara                                   Испания
Asics                                  Япония
Vans                                   Америка
Tyupofff                      Россия
Popov                         Россия
123                           1234
